Neighborhood,Latitude,Longitude
Cantonment,12.994350000000054,77.59839000000005
British Raj,12.966180000000065,77.58690000000007
Richmond Town,12.962330000000065,77.60123000000004
Austin Town,12.963480000000061,77.61297000000008
Murphy Town,12.980030000000056,77.62776000000008
Fraser Town,12.998940000000061,77.61276000000004
Cox Town,12.995940000000076,77.62644000000006
Domlur,12.943290000000047,77.65602000000007
 ,12.966180000000065,77.58690000000007
HAL,12.960930000000076,77.66419000000008
Indiranagar,13.030060000000049,77.49526000000003
 ,12.966180000000065,77.58690000000007
100 Feet Road,12.908585406663308,77.57026481360015
Rajajinagar,13.005440000000021,77.55693000000008
Malleswaram,13.00632005596653,77.56839983128529
 ,12.966180000000065,77.58690000000007
Pete,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Kempe Gowda I,12.975498768188668,77.52385771447123
Chickpet,12.970140000000072,77.57589000000007
K. R. Market,12.95989017880979,77.57431243116255
Avenue Road,12.969388412598315,77.57950705966006
Sadashivanagar,13.014830000000075,77.57771000000008
Anugraha,12.961200000000076,77.51071000000007
Seshadripuram,12.993550000000027,77.57988000000006
Shivajinagar,12.987180000000023,77.60398000000004
 ,12.966180000000065,77.58690000000007
Russell Market,12.985070000000064,77.60551000000004
Bangalore Cantonment railway station,12.993430000000046,77.59786000000008
Ulsoor,12.989080000000058,77.62795000000006
 ,12.966180000000065,77.58690000000007
Ulsoor Lake,12.985830000000021,77.62151000000006
M G Road,12.742312891049933,77.48822554745456
Vasanth Nagar,12.99105000000003,77.58855000000005
Bangalore Palace,12.999140000000068,77.59220000000005
Cunningham Road,12.982207656336067,77.59892056740537
Edit,12.911360000000059,77.65104000000008
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Bellandur,12.927340000000072,77.67169000000007
 ,12.966180000000065,77.58690000000007
Outer Ring Road,12.949320000000057,77.69919000000004
Bellandur Lake,12.943370000000073,77.66421000000008
CV Raman Nagar,12.987150000000042,77.66388000000006
 ,12.966180000000065,77.58690000000007
Bagmane Tech Park,12.979930000000024,77.65646000000004
Hoodi,12.99201000000005,77.71506000000005
Krishnarajapuram,13.000390000000039,77.68368000000004
 ,12.966180000000065,77.58690000000007
Karnataka,12.966180000000065,77.58690000000007
Mahadevapura,12.994090000000028,77.66633000000007
 ,12.966180000000065,77.58690000000007
Phoenix Market City,12.995470000000068,77.69585000000006
Marathahalli,12.954660000000047,77.70752000000005
 ,12.966180000000065,77.58690000000007
Old Airport Road,12.95796579231196,77.67018081372962
Varthur,12.943490000000054,77.74701000000005
 ,12.966180000000065,77.58690000000007
Whitefield,12.975230000000067,77.75238000000007
ITPL,12.950311391348944,77.71308024514424
Edit,12.911360000000059,77.65104000000008
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Banaswadi,13.019314018946492,77.65549242033937
HBR Layout,13.026410000000055,77.62437000000006
Horamavu,13.038700000000063,77.66192000000007
 ,12.966180000000065,77.58690000000007
Kalyan Nagar,12.968020000000024,77.52114000000006
Kammanahalli,13.014260000000036,77.63674000000003
Lingarajapuram,13.005480000000034,77.62597000000005
Ramamurthy Nagar,13.023810000000026,77.67785000000003
 ,12.966180000000065,77.58690000000007
Edit,12.911360000000059,77.65104000000008
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Hebbal,13.049810000000036,77.58903000000004
 ,12.966180000000065,77.58690000000007
Jalahalli,13.054500000000075,77.52658000000008
 ,12.966180000000065,77.58690000000007
Mathikere,13.032340000000033,77.55864000000008
 ,12.966180000000065,77.58690000000007
Peenya,13.031880000000058,77.52654000000007
R. T. Nagar,13.024450000000058,77.59583000000003
 ,12.966180000000065,77.58690000000007
Vidyaranyapura,13.079290000000071,77.55912000000006
Yelahanka,13.09931000000006,77.59259000000003
 ,12.966180000000065,77.58690000000007
Yeshwanthpur,13.029540000000054,77.54020000000008
 ,12.966180000000065,77.58690000000007
Edit,12.911360000000059,77.65104000000008
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Bommanahalli,12.90307000000007,77.62445000000008
Bommasandra,12.817510000000027,77.67881000000006
BTM Layout,12.914950000000033,77.60999000000004
 ,12.966180000000065,77.58690000000007
Electronic City,12.845410000000072,77.66434000000004
 ,12.966180000000065,77.58690000000007
Infosys,12.933580000000063,77.61824000000007
Wipro,12.91112000000004,77.68378000000007
flyover,12.960534476467027,77.55732026731809
HSR Layout,12.912220000000048,77.64470000000006
 ,12.966180000000065,77.58690000000007
Hosur Road,12.950537900797077,77.59229417272812
Koramangala,12.920040000000029,77.62546000000003
 ,12.966180000000065,77.58690000000007
Madiwala,12.920520000000067,77.62090000000006
 ,12.966180000000065,77.58690000000007
Madiwala Lake,12.911060000000077,77.61566000000005
Edit,12.911360000000059,77.65104000000008
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Banashankari,12.922310000000039,77.56988000000007
 ,12.966180000000065,77.58690000000007
Basavanagudi,12.938980000000072,77.57137000000006
 ,12.966180000000065,77.58690000000007
Girinagar,12.942790000000059,77.54122000000007
J. P. Nagar,12.908310000000029,77.59024000000005
 ,12.966180000000065,77.58690000000007
Jayanagar,12.928680000000043,77.58270000000005
 ,12.966180000000065,77.58690000000007
Kumaraswamy Layout,12.898190000000056,77.55927000000008
Padmanabhanagar,12.918180000000064,77.55925000000008
Uttarahalli,12.89757000000003,77.52830000000006
Edit,12.911360000000059,77.65104000000008
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Anjanapura,12.858110000000067,77.55910000000006
Arekere,12.885670000000061,77.59673000000004
Begur,12.882460000000037,77.62477000000007
 ,12.966180000000065,77.58690000000007
Gottigere,12.855660000000057,77.58557000000008
 ,12.966180000000065,77.58690000000007
Hulimavu,12.880630000000053,77.60147000000006
Kothnur,13.064560000000029,77.64782000000008
Edit,12.911360000000059,77.65104000000008
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Basaveshwaranagar,12.986740000000054,77.54389000000003
Basavanna,13.070793948080349,77.53941326481785
Kamakshipalya,12.986990000000048,77.52484000000004
Kengeri,12.90868000000006,77.48718000000008
 ,12.966180000000065,77.58690000000007
railway station,12.993430000000046,77.59786000000008
Namma Metro,13.038039831622665,77.5221665720362
Bangalore Development Authority,12.927460000000053,77.63490000000007
Mahalakshmi Layout,13.016350000000045,77.54481000000004
 ,12.966180000000065,77.58690000000007
Yeshwantpur,13.039120000000025,77.57797000000005
ISKCON Temple,12.969580000000065,77.70165000000003
Nagarbhavi,12.956240000000037,77.50936000000007
 ,12.966180000000065,77.58690000000007
Bangalore University,12.996940000000052,77.61843000000005
National Law School of India University,12.923970000000054,77.59268000000003
Nandini Layout,13.014810000000068,77.53891000000004
Nayandahalli,12.942050000000052,77.52100000000007
Mysore Road Satellite Bus Station,12.953810000000033,77.54333000000008
Mysore Road metro station,12.946340000000077,77.53057000000007
NICE Road,12.893151241641865,77.47938112103746
Rajajinagar,13.005440000000021,77.55693000000008
Rajarajeshwari Nagar,12.93178000000006,77.52668000000006
 ,12.966180000000065,77.58690000000007
Global Village Tech Park,12.919723990631969,77.50351979557736
Vijayanagar,13.076000000000022,77.65240000000006
Vijayanagara Empire,13.076000000000022,77.65240000000006
Edit,12.911360000000059,77.65104000000008
Attibele,12.779710000000023,77.77058000000005
NH44,13.035174933889339,77.58890023311538
SH35,12.905105965036007,77.7467665548431
Anekal,12.709560000000067,77.69804000000005
SH35,12.905105965036007,77.7467665548431
Chandapura,12.794010000000071,77.70015000000006
NH44,13.035174933889339,77.58890023311538
Thavarekere,12.922400000000039,77.61027000000007
Chikkabanavara,13.072135021477997,77.51375007793015
SH39,13.13783481099935,77.4794774750413
Hesaraghatta,13.19046000000003,77.47293000000008
SH39,13.13783481099935,77.4794774750413
Jigani,12.78138000000007,77.64217000000008
SH87,12.928380038555886,77.60057012438801
Nelamangala,13.100390000000061,77.39079000000004
NH48,13.035174933889339,77.58890023311538
NH75,13.057997566942188,77.47012885837138
Sarjapura,12.860720000000072,77.78360000000004
NH648,12.837114743152782,77.84643373264858
SH35,12.905105965036007,77.7467665548431
Edit,12.911360000000059,77.65104000000008
